setKey,slotKey,rarity,mainStatKey,level,location,lock,id,current rolls,The probablity of 6.5rolls is: ,The Median rolls achiveable is: ,The potential ceiling is: 

ObsidianCodex,flower,5,hp,4,,False,259,2.95,18.8%,5.7 Rolls,7.9 Rolls with 0.0033,"['atk', 'critDMG_', 'hp_', 'eleMas']"
ObsidianCodex,flower,5,hp,4,,False,254,2.7,16.3%,5.4 Rolls,7.6 Rolls with 0.0033,"['hp_', 'critRate_', 'def_', 'eleMas']"
ObsidianCodex,flower,5,hp,4,,True,263,2.66,13.4%,5.4 Rolls,7.6 Rolls with 0.0033,"['def', 'critDMG_', 'eleMas', 'hp_']"
ObsidianCodex,flower,5,hp,6,,True,242,2.45,5.6%,5.2 Rolls,7.3 Rolls with 0.0033,"['critRate_', 'hp_', 'eleMas', 'def_']"
ObsidianCodex,flower,5,hp,0,,True,326,2.35,3.1%,4.3 Rolls,7.3 Rolls with 0.0033,"['atk_', 'enerRech_', 'critRate_', 'critDMG_']"
ObsidianCodex,flower,5,hp,4,,False,262,2.11,3.1%,4.1 Rolls,7.1 Rolls with 0.0033,"['critRate_', 'critDMG_', 'def', 'def_']"
ObsidianCodex,flower,5,hp,0,,True,329,2.11,3.1%,4.1 Rolls,7.1 Rolls with 0.0033,"['critRate_', 'critDMG_', 'atk', 'def']"
ObsidianCodex,flower,5,hp,4,,False,255,1.99,3.1%,4.0 Rolls,6.9 Rolls with 0.0033,"['eleMas', 'critDMG_', 'def', 'def_']"
ObsidianCodex,flower,5,hp,0,,True,327,1.94,0.1%,3.4 Rolls,6.2 Rolls with 0.0033,"['enerRech_', 'hp_', 'atk', 'critDMG_']"
ObsidianCodex,flower,5,hp,4,,False,261,1.93,0.1%,3.4 Rolls,6.1 Rolls with 0.0033,"['def_', 'hp_', 'critRate_', 'def']"
ObsidianCodex,flower,5,hp,4,,False,264,1.93,0.1%,3.4 Rolls,6.1 Rolls with 0.0033,"['def_', 'hp_', 'critRate_', 'atk']"
ObsidianCodex,flower,5,hp,4,,False,256,1.87,3.0%,3.9 Rolls,6.7 Rolls with 0.0033,"['eleMas', 'critRate_', 'def_', 'atk']"
ObsidianCodex,flower,5,hp,0,,True,328,1.85,0.1%,3.3 Rolls,6.1 Rolls with 0.0033,"['critDMG_', 'def', 'atk', 'hp_']"
ObsidianCodex,flower,5,hp,4,,False,257,1.75,3.1%,3.8 Rolls,6.7 Rolls with 0.0033,"['critRate_', 'def_', 'critDMG_', 'atk_']"
ObsidianCodex,flower,5,hp,4,,False,265,1.64,0.1%,3.1 Rolls,5.8 Rolls with 0.0033,"['critRate_', 'hp_', 'enerRech_', 'def']"
ObsidianCodex,flower,5,hp,4,,False,260,1.54,0.0%,3.5 Rolls,6.4 Rolls with 0.0033,"['critRate_', 'def', 'eleMas', 'def_']"
ObsidianCodex,flower,5,hp,4,,False,258,1.48,0.0%,3.0 Rolls,5.7 Rolls with 0.0033,"['def_', 'hp_', 'critRate_', 'atk']"

ObsidianCodex,flower,,,,,,,0,,,,


ObsidianCodex,plume,5,atk,4,,False,270,2.9,18.8%,5.6 Rolls,7.9 Rolls with 0.0033,"['critRate_', 'critDMG_', 'def_', 'hp_']"
ObsidianCodex,plume,5,atk,4,,False,269,2.61,12.9%,5.3 Rolls,7.5 Rolls with 0.0033,"['hp_', 'critDMG_', 'eleMas', 'def']"
ObsidianCodex,plume,5,atk,0,,True,332,2.27,3.1%,5.0 Rolls,7.1 Rolls with 0.0033,"['critRate_', 'hp_', 'eleMas', 'atk_']"
ObsidianCodex,plume,5,atk,0,,True,343,2.22,0.0%,5.0 Rolls,6.2 Rolls with 0.0033,"['critRate_', 'enerRech_', 'eleMas']"
