setKey,slotKey,rarity,mainStatKey,level,location,lock,id,
,,,,,,,,
EmblemOfSeveredFate,flower,5,hp,0,,False,940,2.08
,,,,,,,,
EmblemOfSeveredFate,flower,5,hp,20,,True,46,6.84
EmblemOfSeveredFate,flower,5,hp,20,Beidou,True,54,6.31
EmblemOfSeveredFate,flower,5,hp,20,RaidenShogun,True,51,6.07
EmblemOfSeveredFate,flower,5,hp,20,,False,48,6.01
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EmblemOfSeveredFate,plume,5,atk,20,Xingqiu,True,57,6.95
EmblemOfSeveredFate,plume,5,atk,20,Mona,False,61,6.85
EmblemOfSeveredFate,plume,5,atk,20,Xiangling,True,56,6.67
EmblemOfSeveredFate,plume,5,atk,20,Lisa,True,59,6.52
EmblemOfSeveredFate,plume,5,atk,20,Yanfei,True,58,6.24
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EmblemOfSeveredFate,sands,5,hp_,20,Furina,True,65,7.93
EmblemOfSeveredFate,sands,5,atk_,20,Xingqiu,True,70,6.58
EmblemOfSeveredFate,sands,5,atk_,20,Gaming,False,73,6.02
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EmblemOfSeveredFate,goblet,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
EmblemOfSeveredFate,circlet,,,,,,,
